premise,hypothesis,extra,label,generic,concept,hyp_type_pl,reasoning_steps,reasoning_type,extra_type
Ducks have a wide flat beak adapted for dredging. A Wumox is a duck.,A Wumox has a wide flat beak adapted for dredging.,A Bafu is a duck. A Bafu has a wide flat beak adapted for dredging.,S,Ducks have a wide flat beak adapted for dredging.,Ducks,Wumoxes,1,S-case,Nonsense
Ducks have a wide flat beak adapted for dredging. A Wumox is a duck.,A Wumox has a wide flat beak adapted for dredging.,Ducks that are kept as pets and are fed store-bought food are ducks. Ducks that are kept as pets and are fed store-bought food do not have a wide flat beak adapted for dredging.,W,Ducks have a wide flat beak adapted for dredging.,Ducks,Wumoxes,1,W-case,Real
Ducks have a wide flat beak adapted for dredging. A Wumox is a duck.,A Wumox has a wide flat beak adapted for dredging.,A Bafu is a duck. Bafus do not have a wide flat beak adapted for dredging.,W,Ducks have a wide flat beak adapted for dredging.,Ducks,Wumoxes,1,W-case,Nonsense
Ducks have a wide flat beak adapted for dredging. A Wumox is a duck.,A Wumox has a wide flat beak adapted for dredging.,Herons are not ducks. Herons have a wide flat beak adapted for dredging.,N,Ducks have a wide flat beak adapted for dredging.,Ducks,Wumoxes,1,S-alt,Real
Ducks have a wide flat beak adapted for dredging. A Wumox is a duck.,A Wumox has a wide flat beak adapted for dredging.,A Bafu is not a duck. A Bafu has a wide flat beak adapted for dredging.,N,Ducks have a wide flat beak adapted for dredging.,Ducks,Wumoxes,1,S-alt,Nonsense
Ducks have a wide flat beak adapted for dredging. A Wumox is a duck.,A Wumox has a wide flat beak adapted for dredging.,Ducks have webbed feet which helps them swim and move quickly through the water.,N,Ducks have a wide flat beak adapted for dredging.,Ducks,Wumoxes,1,N-prop,Real
Ducks have a wide flat beak adapted for dredging. A muscovy duck is a duck. A Wumox is a muscovy duck.,A Wumox has a wide flat beak adapted for dredging.,A muscovy duck has a wide flat beak adapted for dredging.,S,Ducks have a wide flat beak adapted for dredging.,Ducks,Wumoxes,2,S-case,Real
Ducks have a wide flat beak adapted for dredging. Ducks that are kept as pets and are fed store-bought food are ducks. Wumoxes are ducks that are kept as pets and are fed store-bought food.,A Wumox has a wide flat beak adapted for dredging.,Ducks that are kept as pets and are fed store-bought food do not have a wide flat beak adapted for dredging.,W,Ducks have a wide flat beak adapted for dredging.,Ducks,Wumoxes,2,W-case,Real
Ducks have a wide flat beak adapted for dredging. A Goq is a duck. A Wumox is a Goq.,A Wumox has a wide flat beak adapted for dredging.,A Goq has a wide flat beak adapted for dredging,S,Ducks have a wide flat beak adapted for dredging.,Ducks,Wumoxes,2,S-case,Nonsense
Ducks have a wide flat beak adapted for dredging. A Goq is a duck. A Wumox is a Goq.,A Wumox has a wide flat beak adapted for dredging.,Goqs do not have a wide flat beak adapted for dredging,W,Ducks have a wide flat beak adapted for dredging.,Ducks,Wumoxes,2,W-case,Nonsense
Birds live in regions. A Dofik is a bird.,A Dofik lives in regions.,A blue jay is a bird. A blue jay lives in regions.,S,Birds live in regions.,Birds,Dofiks,1,S-case,Real
Birds live in regions. A Dofik is a bird.,A Dofik lives in regions.,A Yeb is a bird. A Yeb lives in regions.,S,Birds live in regions.,Birds,Dofiks,1,S-case,Nonsense
Birds live in regions. A Dofik is a bird.,A Dofik lives in regions.,Arctic terns which live in the arctic are birds. Arctic terns which live in the arctic do not live in regions.,W,Birds live in regions.,Birds,Dofiks,1,W-case,Real
Birds live in regions. A Dofik is a bird.,A Dofik lives in regions.,A Yeb is a bird. Yebs do not live in regions.,W,Birds live in regions.,Birds,Dofiks,1,W-case,Nonsense
Birds live in regions. A Dofik is a bird.,A Dofik lives in regions.,Animals are not birds. Animals live in regions.,N,Birds live in regions.,Birds,Dofiks,1,S-alt,Real
Birds live in regions. A Dofik is a bird.,A Dofik lives in regions.,A Yeb is not a bird. A Yeb lives in regions.,N,Birds live in regions.,Birds,Dofiks,1,S-alt,Nonsense
Birds live in regions. A Dofik is a bird.,A Dofik lives in regions.,Birds live in trees.,N,Birds live in regions.,Birds,Dofiks,1,N-prop,Real
Birds live in regions. A blue jay is a bird. A Dofik is a blue jay.,A Dofik lives in regions.,A blue jay lives in regions.,S,Birds live in regions.,Birds,Dofiks,2,S-case,Real
Birds live in regions. Arctic terns which live in the arctic are birds. Dofiks are arctic terns which live in the arctic.,A Dofik lives in regions.,Arctic terns which live in the arctic do not live in regions.,W,Birds live in regions.,Birds,Dofiks,2,W-case,Real
Birds live in regions. A Wumox is a bird. A Dofik is a Wumox.,A Dofik lives in regions.,A Wumox lives in regions,S,Birds live in regions.,Birds,Dofiks,2,S-case,Nonsense
Birds live in regions. A Wumox is a bird. A Dofik is a Wumox.,A Dofik lives in regions.,Wumoxes do not live in regions,W,Birds live in regions.,Birds,Dofiks,2,W-case,Nonsense
Parrots fly over ponds. Dofiks are parrots.,Dofiks fly over ponds.,Peregrine falcons are parrots. Peregrine falcons fly over ponds.,S,Parrots fly over ponds.,Parrots,Dofiks,1,S-case,Real
Parrots fly over ponds. Dofiks are parrots.,Dofiks fly over ponds.,Yebs are parrots. Yebs fly over ponds.,S,Parrots fly over ponds.,Parrots,Dofiks,1,S-case,Nonsense
Parrots fly over ponds. Dofiks are parrots.,Dofiks fly over ponds.,Parrots that are being chased by a predator are parrots. Parrots that are being chased by a predator do not fly over ponds.,W,Parrots fly over ponds.,Parrots,Dofiks,1,W-case,Real
Parrots fly over ponds. Dofiks are parrots.,Dofiks fly over ponds.,Yebs are parrots. Yebs do not fly over ponds.,W,Parrots fly over ponds.,Parrots,Dofiks,1,W-case,Nonsense
Parrots fly over ponds. Dofiks are parrots.,Dofiks fly over ponds.,Cranes are not parrots. Cranes fly over ponds.,N,Parrots fly over ponds.,Parrots,Dofiks,1,S-alt,Real
Parrots fly over ponds. Dofiks are parrots.,Dofiks fly over ponds.,Yebs are not parrots. Yebs fly over ponds.,N,Parrots fly over ponds.,Parrots,Dofiks,1,S-alt,Nonsense
Parrots fly over ponds. Dofiks are parrots.,Dofiks fly over ponds.,Parrots fly over patches of grass.,N,Parrots fly over ponds.,Parrots,Dofiks,1,N-prop,Real
Parrots fly over ponds. Peregrine falcons are parrots. Dofiks are peregrine falcons.,Dofiks fly over ponds.,Peregrine falcons fly over ponds.,S,Parrots fly over ponds.,Parrots,Dofiks,2,S-case,Real
Parrots fly over ponds. Parrots that are being chased by a predator are parrots. Dofiks are parrots that are being chased by a predator.,Dofiks fly over ponds.,Parrots that are being chased by a predator do not fly over ponds.,W,Parrots fly over ponds.,Parrots,Dofiks,2,W-case,Real
Parrots fly over ponds. Wumoxes are parrots. Dofiks are Wumoxes.,Dofiks fly over ponds.,Wumoxes fly over ponds,S,Parrots fly over ponds.,Parrots,Dofiks,2,S-case,Nonsense
Parrots fly over ponds. Wumoxes are parrots. Dofiks are Wumoxes.,Dofiks fly over ponds.,Wumoxes do not fly over ponds,W,Parrots fly over ponds.,Parrots,Dofiks,2,W-case,Nonsense
Ospreys reach maturity. A Yeb is an osprey.,A Yeb reaches maturity.,An australian osprey is an osprey. An australian osprey reaches maturity.,S,Ospreys reach maturity.,Ospreys,Yebs,1,S-case,Real
Ospreys reach maturity. A Yeb is an osprey.,A Yeb reaches maturity.,A Wumox is an osprey. A Wumox reaches maturity.,S,Ospreys reach maturity.,Ospreys,Yebs,1,S-case,Nonsense
Ospreys reach maturity. A Yeb is an osprey.,A Yeb reaches maturity.,Ospreys that are malnourished are ospreys. Ospreys that are malnourished do not reach maturity.,W,Ospreys reach maturity.,Ospreys,Yebs,1,W-case,Real
Ospreys reach maturity. A Yeb is an osprey.,A Yeb reaches maturity.,A Wumox is an osprey. Wumoxes do not reach maturity.,W,Ospreys reach maturity.,Ospreys,Yebs,1,W-case,Nonsense
Ospreys reach maturity. A Yeb is an osprey.,A Yeb reaches maturity.,Bald eagles are not ospreys. Bald eagles reach maturity.,N,Ospreys reach maturity.,Ospreys,Yebs,1,S-alt,Real
Ospreys reach maturity. A Yeb is an osprey.,A Yeb reaches maturity.,A Wumox is not an osprey. A Wumox reaches maturity.,N,Ospreys reach maturity.,Ospreys,Yebs,1,S-alt,Nonsense
Ospreys reach maturity. A Yeb is an osprey.,A Yeb reaches maturity.,Ospreys reach their wintering grounds.,N,Ospreys reach maturity.,Ospreys,Yebs,1,N-prop,Real
Ospreys reach maturity. An australian osprey is an osprey. A Yeb is an australian osprey.,A Yeb reaches maturity.,An australian osprey reaches maturity.,S,Ospreys reach maturity.,Ospreys,Yebs,2,S-case,Real
Ospreys reach maturity. Ospreys that are malnourished are ospreys. Yebs are ospreys that are malnourished.,A Yeb reaches maturity.,Ospreys that are malnourished do not reach maturity.,W,Ospreys reach maturity.,Ospreys,Yebs,2,W-case,Real
Ospreys reach maturity. A Bafu is an osprey. A Yeb is a Bafu.,A Yeb reaches maturity.,A Bafu reaches maturity,S,Ospreys reach maturity.,Ospreys,Yebs,2,S-case,Nonsense
Ospreys reach maturity. A Bafu is an osprey. A Yeb is a Bafu.,A Yeb reaches maturity.,Bafus do not reach maturity,W,Ospreys reach maturity.,Ospreys,Yebs,2,W-case,Nonsense
Goose barnacles eat juvenile shrimp. Wumoxes are goose barnacles.,Wumoxes eat juvenile shrimp.,Black gooseneck barnacles are goose barnacles. Black gooseneck barnacles eat juvenile shrimp.,S,Goose barnacles eat juvenile shrimp.,Goose barnacles,Wumoxes,1,S-case,Real
Goose barnacles eat juvenile shrimp. Wumoxes are goose barnacles.,Wumoxes eat juvenile shrimp.,Bafus are goose barnacles. Bafus eat juvenile shrimp.,S,Goose barnacles eat juvenile shrimp.,Goose barnacles,Wumoxes,1,S-case,Nonsense
Goose barnacles eat juvenile shrimp. Wumoxes are goose barnacles.,Wumoxes eat juvenile shrimp.,Goose barnacles that live in a place where there are no juvenile shrimp are goose barnacles. Goose barnacles that live in a place where there are no juvenile shrimp do not eat juvenile shrimp.,W,Goose barnacles eat juvenile shrimp.,Goose barnacles,Wumoxes,1,W-case,Real
Goose barnacles eat juvenile shrimp. Wumoxes are goose barnacles.,Wumoxes eat juvenile shrimp.,Bafus are goose barnacles. Bafus do not eat juvenile shrimp.,W,Goose barnacles eat juvenile shrimp.,Goose barnacles,Wumoxes,1,W-case,Nonsense
Goose barnacles eat juvenile shrimp. Wumoxes are goose barnacles.,Wumoxes eat juvenile shrimp.,Purple sea urchins are not goose barnacles. Purple sea urchins eat juvenile shrimp.,N,Goose barnacles eat juvenile shrimp.,Goose barnacles,Wumoxes,1,S-alt,Real
Goose barnacles eat juvenile shrimp. Wumoxes are goose barnacles.,Wumoxes eat juvenile shrimp.,Bafus are not goose barnacles. Bafus eat juvenile shrimp.,N,Goose barnacles eat juvenile shrimp.,Goose barnacles,Wumoxes,1,S-alt,Nonsense
Goose barnacles eat juvenile shrimp. Wumoxes are goose barnacles.,Wumoxes eat juvenile shrimp.,Goose barnacles eat pieces of dead fish or other marine creatures.,N,Goose barnacles eat juvenile shrimp.,Goose barnacles,Wumoxes,1,N-prop,Real
Goose barnacles eat juvenile shrimp. Black gooseneck barnacles are goose barnacles. Wumoxes are black gooseneck barnacles.,Wumoxes eat juvenile shrimp.,Black gooseneck barnacles eat juvenile shrimp.,S,Goose barnacles eat juvenile shrimp.,Goose barnacles,Wumoxes,2,S-case,Real
Goose barnacles eat juvenile shrimp. Goose barnacles that live in a place where there are no juvenile shrimp are goose barnacles. Wumoxes are goose barnacles that live in a place where there are no juvenile shrimp.,Wumoxes eat juvenile shrimp.,Goose barnacles that live in a place where there are no juvenile shrimp do not eat juvenile shrimp.,W,Goose barnacles eat juvenile shrimp.,Goose barnacles,Wumoxes,2,W-case,Real
Goose barnacles eat juvenile shrimp. Goqs are goose barnacles. Wumoxes are Goqs.,Wumoxes eat juvenile shrimp.,Goqs eat juvenile shrimp,S,Goose barnacles eat juvenile shrimp.,Goose barnacles,Wumoxes,2,S-case,Nonsense
Goose barnacles eat juvenile shrimp. Goqs are goose barnacles. Wumoxes are Goqs.,Wumoxes eat juvenile shrimp.,Goqs do not eat juvenile shrimp,W,Goose barnacles eat juvenile shrimp.,Goose barnacles,Wumoxes,2,W-case,Nonsense
Birds possess food. Dofiks are birds.,Dofiks possess food.,Birds that eat insects are birds. Birds that eat insects possess food.,S,Birds possess food.,Birds,Dofiks,1,S-case,Real
Birds possess food. Dofiks are birds.,Dofiks possess food.,Yebs are birds. Yebs possess food.,S,Birds possess food.,Birds,Dofiks,1,S-case,Nonsense
Birds possess food. Dofiks are birds.,Dofiks possess food.,Birds that are in a location where food is not available are birds. Birds that are in a location where food is not available do not possess food.,W,Birds possess food.,Birds,Dofiks,1,W-case,Real
Birds possess food. Dofiks are birds.,Dofiks possess food.,Yebs are birds. Yebs do not possess food.,W,Birds possess food.,Birds,Dofiks,1,W-case,Nonsense
Birds possess food. Dofiks are birds.,Dofiks possess food.,Animals are not birds. Animals possess food.,N,Birds possess food.,Birds,Dofiks,1,S-alt,Real
Birds possess food. Dofiks are birds.,Dofiks possess food.,Yebs are not birds. Yebs possess food.,N,Birds possess food.,Birds,Dofiks,1,S-alt,Nonsense
Birds possess food. Dofiks are birds.,Dofiks possess food.,Birds possess a beak.,N,Birds possess food.,Birds,Dofiks,1,N-prop,Real
Birds possess food. Birds that eat insects are birds. Dofiks are birds that eat insects.,Dofiks possess food.,Birds that eat insects possess food.,S,Birds possess food.,Birds,Dofiks,2,S-case,Real
Birds possess food. Birds that are in a location where food is not available are birds. Dofiks are birds that are in a location where food is not available.,Dofiks possess food.,Birds that are in a location where food is not available do not possess food.,W,Birds possess food.,Birds,Dofiks,2,W-case,Real
Birds possess food. Wumoxes are birds. Dofiks are Wumoxes.,Dofiks possess food.,Wumoxes possess food,S,Birds possess food.,Birds,Dofiks,2,S-case,Nonsense
Birds possess food. Wumoxes are birds. Dofiks are Wumoxes.,Dofiks possess food.,Wumoxes do not possess food,W,Birds possess food.,Birds,Dofiks,2,W-case,Nonsense
Parrots eat a diet that contains nuts. A Yeb is a parrot.,A Yeb eats a diet that contains nuts.,A sulphur-crested cockatoo is a parrot. A sulphur-crested cockatoo eats a diet that contains nuts.,S,Parrots eat a diet that contains nuts.,Parrots,Yebs,1,S-case,Real
Parrots eat a diet that contains nuts. A Yeb is a parrot.,A Yeb eats a diet that contains nuts.,A Wumox is a parrot. A Wumox eats a diet that contains nuts.,S,Parrots eat a diet that contains nuts.,Parrots,Yebs,1,S-case,Nonsense
Parrots eat a diet that contains nuts. A Yeb is a parrot.,A Yeb eats a diet that contains nuts.,Parrots that are young and not fully weaned are parrots. Parrots that are young and not fully weaned do not eat a diet that contains nuts.,W,Parrots eat a diet that contains nuts.,Parrots,Yebs,1,W-case,Real
Parrots eat a diet that contains nuts. A Yeb is a parrot.,A Yeb eats a diet that contains nuts.,A Wumox is a parrot. Wumoxes do not eat a diet that contains nuts.,W,Parrots eat a diet that contains nuts.,Parrots,Yebs,1,W-case,Nonsense
Parrots eat a diet that contains nuts. A Yeb is a parrot.,A Yeb eats a diet that contains nuts.,Elephants are not parrots. Elephants eat a diet that contains nuts.,N,Parrots eat a diet that contains nuts.,Parrots,Yebs,1,S-alt,Real
Parrots eat a diet that contains nuts. A Yeb is a parrot.,A Yeb eats a diet that contains nuts.,A Wumox is not a parrot. A Wumox eats a diet that contains nuts.,N,Parrots eat a diet that contains nuts.,Parrots,Yebs,1,S-alt,Nonsense
Parrots eat a diet that contains nuts. A Yeb is a parrot.,A Yeb eats a diet that contains nuts.,Parrots eat a diet that contains a small amount of meat.,N,Parrots eat a diet that contains nuts.,Parrots,Yebs,1,N-prop,Real
Parrots eat a diet that contains nuts. A sulphur-crested cockatoo is a parrot. A Yeb is a sulphur-crested cockatoo.,A Yeb eats a diet that contains nuts.,A sulphur-crested cockatoo eats a diet that contains nuts.,S,Parrots eat a diet that contains nuts.,Parrots,Yebs,2,S-case,Real
Parrots eat a diet that contains nuts. Parrots that are young and not fully weaned are parrots. Yebs are parrots that are young and not fully weaned.,A Yeb eats a diet that contains nuts.,Parrots that are young and not fully weaned do not eat a diet that contains nuts.,W,Parrots eat a diet that contains nuts.,Parrots,Yebs,2,W-case,Real
Parrots eat a diet that contains nuts. A Bafu is a parrot. A Yeb is a Bafu.,A Yeb eats a diet that contains nuts.,A Bafu eats a diet that contains nuts,S,Parrots eat a diet that contains nuts.,Parrots,Yebs,2,S-case,Nonsense
Parrots eat a diet that contains nuts. A Bafu is a parrot. A Yeb is a Bafu.,A Yeb eats a diet that contains nuts.,Bafus do not eat a diet that contains nuts,W,Parrots eat a diet that contains nuts.,Parrots,Yebs,2,W-case,Nonsense
Howler monkeys have prehensile tails. Goqs are howler monkeys.,Goqs have prehensile tails.,Capuchin monkeys are howler monkeys. Capuchin monkeys have prehensile tails.,S,Howler monkeys have prehensile tails.,Howler monkeys,Goqs,1,S-case,Real
Howler monkeys have prehensile tails. Goqs are howler monkeys.,Goqs have prehensile tails.,Dofiks are howler monkeys. Dofiks have prehensile tails.,S,Howler monkeys have prehensile tails.,Howler monkeys,Goqs,1,S-case,Nonsense
Howler monkeys have prehensile tails. Goqs are howler monkeys.,Goqs have prehensile tails.,The white-faced capuchin monkey is a howler monkey. The white-faced capuchin monkey does not have prehensile tails.,W,Howler monkeys have prehensile tails.,Howler monkeys,Goqs,1,W-case,Real
Howler monkeys have prehensile tails. Goqs are howler monkeys.,Goqs have prehensile tails.,Dofiks are howler monkeys. A Dofik does not have prehensile tails.,W,Howler monkeys have prehensile tails.,Howler monkeys,Goqs,1,W-case,Nonsense
Howler monkeys have prehensile tails. Goqs are howler monkeys.,Goqs have prehensile tails.,Squirrels are not howler monkeys. Squirrels have prehensile tails.,N,Howler monkeys have prehensile tails.,Howler monkeys,Goqs,1,S-alt,Real
Howler monkeys have prehensile tails. Goqs are howler monkeys.,Goqs have prehensile tails.,Dofiks are not howler monkeys. Dofiks have prehensile tails.,N,Howler monkeys have prehensile tails.,Howler monkeys,Goqs,1,S-alt,Nonsense
Howler monkeys have prehensile tails. Goqs are howler monkeys.,Goqs have prehensile tails.,Howler monkeys have large vocal sacs.,N,Howler monkeys have prehensile tails.,Howler monkeys,Goqs,1,N-prop,Real
Howler monkeys have prehensile tails. Capuchin monkeys are howler monkeys. Goqs are capuchin monkeys.,Goqs have prehensile tails.,Capuchin monkeys have prehensile tails.,S,Howler monkeys have prehensile tails.,Howler monkeys,Goqs,2,S-case,Real
Howler monkeys have prehensile tails. The white-faced capuchin monkey is a howler monkey. A Goq is the white-faced capuchin monkey.,Goqs have prehensile tails.,The white-faced capuchin monkey does not have prehensile tails.,W,Howler monkeys have prehensile tails.,Howler monkeys,Goqs,2,W-case,Real
Howler monkeys have prehensile tails. Yebs are howler monkeys. Goqs are Yebs.,Goqs have prehensile tails.,Yebs have prehensile tails,S,Howler monkeys have prehensile tails.,Howler monkeys,Goqs,2,S-case,Nonsense
Howler monkeys have prehensile tails. Yebs are howler monkeys. Goqs are Yebs.,Goqs have prehensile tails.,A Yeb does not have prehensile tails,W,Howler monkeys have prehensile tails.,Howler monkeys,Goqs,2,W-case,Nonsense
Sparrows feed on seeds. A Dofik is a sparrow.,A Dofik feeds on seeds.,A white-crowned sparrow is a sparrow. A white-crowned sparrow feeds on seeds.,S,Sparrows feed on seeds.,Sparrows,Dofiks,1,S-case,Real
Sparrows feed on seeds. A Dofik is a sparrow.,A Dofik feeds on seeds.,A Yeb is a sparrow. A Yeb feeds on seeds.,S,Sparrows feed on seeds.,Sparrows,Dofiks,1,S-case,Nonsense
Sparrows feed on seeds. A Dofik is a sparrow.,A Dofik feeds on seeds.,"Sparrows that eat small frogs, lizards, or baby birds are sparrows. Sparrows that eat small frogs, lizards, or baby birds do not feed on seeds.",W,Sparrows feed on seeds.,Sparrows,Dofiks,1,W-case,Real
Sparrows feed on seeds. A Dofik is a sparrow.,A Dofik feeds on seeds.,A Yeb is a sparrow. Yebs do not feed on seeds.,W,Sparrows feed on seeds.,Sparrows,Dofiks,1,W-case,Nonsense
Sparrows feed on seeds. A Dofik is a sparrow.,A Dofik feeds on seeds.,Squirrels are not sparrows. Squirrels feed on seeds.,N,Sparrows feed on seeds.,Sparrows,Dofiks,1,S-alt,Real
Sparrows feed on seeds. A Dofik is a sparrow.,A Dofik feeds on seeds.,A Yeb is not a sparrow. A Yeb feeds on seeds.,N,Sparrows feed on seeds.,Sparrows,Dofiks,1,S-alt,Nonsense
Sparrows feed on seeds. A Dofik is a sparrow.,A Dofik feeds on seeds.,Sparrows feed on insects.,N,Sparrows feed on seeds.,Sparrows,Dofiks,1,N-prop,Real
Sparrows feed on seeds. A white-crowned sparrow is a sparrow. A Dofik is a white-crowned sparrow.,A Dofik feeds on seeds.,A white-crowned sparrow feeds on seeds.,S,Sparrows feed on seeds.,Sparrows,Dofiks,2,S-case,Real
"Sparrows feed on seeds. Sparrows that eat small frogs, lizards, or baby birds are sparrows. Dofiks are sparrows that eat small frogs, lizards, or baby birds.",A Dofik feeds on seeds.,"Sparrows that eat small frogs, lizards, or baby birds do not feed on seeds.",W,Sparrows feed on seeds.,Sparrows,Dofiks,2,W-case,Real
Sparrows feed on seeds. A Wumox is a sparrow. A Dofik is a Wumox.,A Dofik feeds on seeds.,A Wumox feeds on seeds,S,Sparrows feed on seeds.,Sparrows,Dofiks,2,S-case,Nonsense
Sparrows feed on seeds. A Wumox is a sparrow. A Dofik is a Wumox.,A Dofik feeds on seeds.,Wumoxes do not feed on seeds,W,Sparrows feed on seeds.,Sparrows,Dofiks,2,W-case,Nonsense
Birds have only one ovary and one oviduct. Bafus are birds.,Bafus have only one ovary and one oviduct.,Ospreys are birds. Ospreys have only one ovary and one oviduct.,S,Birds have only one ovary and one oviduct.,Birds,Bafus,1,S-case,Real
Birds have only one ovary and one oviduct. Bafus are birds.,Bafus have only one ovary and one oviduct.,Goqs are birds. Goqs have only one ovary and one oviduct.,S,Birds have only one ovary and one oviduct.,Birds,Bafus,1,S-case,Nonsense
Birds have only one ovary and one oviduct. Bafus are birds.,Bafus have only one ovary and one oviduct.,The ostrich which has two functional ovaries and two oviducts is a bird. The ostrich which has two functional ovaries and two oviducts does not have only one ovary and one oviduct.,W,Birds have only one ovary and one oviduct.,Birds,Bafus,1,W-case,Real
Birds have only one ovary and one oviduct. Bafus are birds.,Bafus have only one ovary and one oviduct.,Goqs are birds. A Goq does not have only one ovary and one oviduct.,W,Birds have only one ovary and one oviduct.,Birds,Bafus,1,W-case,Nonsense
Birds have only one ovary and one oviduct. Bafus are birds.,Bafus have only one ovary and one oviduct.,Monotremes are not birds. Monotremes have only one ovary and one oviduct.,N,Birds have only one ovary and one oviduct.,Birds,Bafus,1,S-alt,Real
Birds have only one ovary and one oviduct. Bafus are birds.,Bafus have only one ovary and one oviduct.,Goqs are not birds. Goqs have only one ovary and one oviduct.,N,Birds have only one ovary and one oviduct.,Birds,Bafus,1,S-alt,Nonsense
Birds have only one ovary and one oviduct. Bafus are birds.,Bafus have only one ovary and one oviduct.,Geese have two ovaries and two oviducts.,N,Birds have only one ovary and one oviduct.,Birds,Bafus,1,N-prop,Real
Birds have only one ovary and one oviduct. Ospreys are birds. Bafus are ospreys.,Bafus have only one ovary and one oviduct.,Ospreys have only one ovary and one oviduct.,S,Birds have only one ovary and one oviduct.,Birds,Bafus,2,S-case,Real
Birds have only one ovary and one oviduct. The ostrich which has two functional ovaries and two oviducts is a bird. A Bafu is the ostrich which has two functional ovaries and two oviducts.,Bafus have only one ovary and one oviduct.,The ostrich which has two functional ovaries and two oviducts does not have only one ovary and one oviduct.,W,Birds have only one ovary and one oviduct.,Birds,Bafus,2,W-case,Real
Birds have only one ovary and one oviduct. Dofiks are birds. Bafus are Dofiks.,Bafus have only one ovary and one oviduct.,Dofiks have only one ovary and one oviduct,S,Birds have only one ovary and one oviduct.,Birds,Bafus,2,S-case,Nonsense
Birds have only one ovary and one oviduct. Dofiks are birds. Bafus are Dofiks.,Bafus have only one ovary and one oviduct.,A Dofik does not have only one ovary and one oviduct,W,Birds have only one ovary and one oviduct.,Birds,Bafus,2,W-case,Nonsense
Pelicans eat fish. A Dofik is a pelican.,A Dofik eats fish.,A pelican is a pelican. A pelicanus erythrorhynchos eats fish.,S,Pelicans eat fish.,Pelicans,Dofiks,1,S-case,Real
Pelicans eat fish. A Dofik is a pelican.,A Dofik eats fish.,A Yeb is a pelican. A Yeb us erythrorhynchos eats fish.,S,Pelicans eat fish.,Pelicans,Dofiks,1,S-case,Nonsense
Pelicans eat fish. A Dofik is a pelican.,A Dofik eats fish.,Pelicans that live in a place where there are no fish are pelicans. Pelicans that live in a place where there are no fish do not eat fish.,W,Pelicans eat fish.,Pelicans,Dofiks,1,W-case,Real
Pelicans eat fish. A Dofik is a pelican.,A Dofik eats fish.,A Yeb is a pelican. Yebs do not eat fish.,W,Pelicans eat fish.,Pelicans,Dofiks,1,W-case,Nonsense
Pelicans eat fish. A Dofik is a pelican.,A Dofik eats fish.,Seagulls are not pelicans. Seagulls eat fish.,N,Pelicans eat fish.,Pelicans,Dofiks,1,S-alt,Real
Pelicans eat fish. A Dofik is a pelican.,A Dofik eats fish.,A Yeb is not a pelican. A Yeb us erythrorhynchos eats fish.,N,Pelicans eat fish.,Pelicans,Dofiks,1,S-alt,Nonsense
Pelicans eat fish. A Dofik is a pelican.,A Dofik eats fish.,"Occasionally, pelicans will also eat small mammals or reptiles.",N,Pelicans eat fish.,Pelicans,Dofiks,1,N-prop,Real
Pelicans eat fish. A pelican is a pelican. A Dofik is a pelican.,A Dofik eats fish.,A pelicanus erythrorhynchos eats fish.,S,Pelicans eat fish.,Pelicans,Dofiks,2,S-case,Real
Pelicans eat fish. Pelicans that live in a place where there are no fish are pelicans. Dofiks are pelicans that live in a place where there are no fish.,A Dofik eats fish.,Pelicans that live in a place where there are no fish do not eat fish.,W,Pelicans eat fish.,Pelicans,Dofiks,2,W-case,Real
Pelicans eat fish. A Wumox is a pelican. A Dofik is a Wumox.,A Dofik eats fish.,A Wumox us erythrorhynchos eats fish,S,Pelicans eat fish.,Pelicans,Dofiks,2,S-case,Nonsense
Pelicans eat fish. A Wumox is a pelican. A Dofik is a Wumox.,A Dofik eats fish.,Wumoxes do not eat fish,W,Pelicans eat fish.,Pelicans,Dofiks,2,W-case,Nonsense
Songbirds eat seeds. Goqs are songbirds.,Goqs eat seeds.,Sparrows are songbirds. Sparrows eat seeds.,S,Songbirds eat seeds.,Songbirds,Goqs,1,S-case,Real
Songbirds eat seeds. Goqs are songbirds.,Goqs eat seeds.,Dofiks are songbirds. Dofiks eat seeds.,S,Songbirds eat seeds.,Songbirds,Goqs,1,S-case,Nonsense
Songbirds eat seeds. Goqs are songbirds.,Goqs eat seeds.,Songbirds that are sick or injured and can't digest seeds properly are songbirds. Songbirds that are sick or injured and can't digest seeds properly do not eat seeds.,W,Songbirds eat seeds.,Songbirds,Goqs,1,W-case,Real
Songbirds eat seeds. Goqs are songbirds.,Goqs eat seeds.,Dofiks are songbirds. Dofiks do not eat seeds.,W,Songbirds eat seeds.,Songbirds,Goqs,1,W-case,Nonsense
Songbirds eat seeds. Goqs are songbirds.,Goqs eat seeds.,Squirrels are not songbirds. Squirrels eat seeds.,N,Songbirds eat seeds.,Songbirds,Goqs,1,S-alt,Real
Songbirds eat seeds. Goqs are songbirds.,Goqs eat seeds.,Dofiks are not songbirds. Dofiks eat seeds.,N,Songbirds eat seeds.,Songbirds,Goqs,1,S-alt,Nonsense
Songbirds eat seeds. Goqs are songbirds.,Goqs eat seeds.,Songbirds eat other birds.,N,Songbirds eat seeds.,Songbirds,Goqs,1,N-prop,Real
Songbirds eat seeds. Sparrows are songbirds. Goqs are sparrows.,Goqs eat seeds.,Sparrows eat seeds.,S,Songbirds eat seeds.,Songbirds,Goqs,2,S-case,Real
